Project Name,Hours,Amount,Date
4368A Lohman Technologies : AfibAlert 2.0,0.25,48.75,3/18/2024
4368A Lohman Technologies : AfibAlert 2.0,1.25,243.75,3/20/2024
4368A Lohman Technologies : AfibAlert 2.0,0.5,90,3/11/2024
4368A Lohman Technologies : AfibAlert 2.0,0.5,90,3/21/2024
4368A Lohman Technologies : AfibAlert 2.0,1,175,3/14/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,0.5,107.5,9/6/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,1.5,322.5,8/30/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,2.25,483.75,8/6/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,1.5,322.5,8/20/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,0.25,50,5/3/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,0.5,90,2/1/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,1,175,2/23/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,2.5,537.5,10/2/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,0.5,107.5,9/26/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,1,215,8/27/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,1,215,6/3/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,1,185,2/20/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,0.25,43.75,2/29/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,1,175,3/5/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,1,187.5,3/8/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,1,190,7/30/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,0.75,161.25,10/14/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,0.75,142.5,11/25/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,1.25,268.75,5/14/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,0.75,146.25,2/2/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,0.5,87.5,2/6/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,0.25,43.75,1/16/2024
4448 Lohman Technologies : Lohman Cloud Infrastructure,0.75,146.25,2/13/2024
